offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,avg_send_time,avg_recv_time,system_clock_time
1.58633,4.00004,32,200,5,1,0.0004,164,1207.93,336.86,800
13.4822,4.00004,32,200,5,1,0.0008,784,903.444,327.168,1300
31.351,4.00004,32,200,5,1,0.0016,2667,701.2,353.666,900
39.4329,4.00004,32,200,5,1,0.0032,9684,583.519,327.036,800
0.156816,4.00004,32,200,5,2,0.0001,35,1822.86,277.143,1500
0.173497,4.00004,32,200,5,2,0.0002,83,1207.23,406.667,800
1.81796,4.00004,32,200,5,2,0.0004,285,1120.35,333.315,1100
13.2377,4.00004,32,200,5,2,0.0008,758,827.704,354.622,900
34.8838,4.00004,32,200,5,2,0.0016,2735,631.81,338.818,900
36.5702,4.00004,32,200,5,2,0.0032,9524,588.765,342.17,800
0.17553,4.00004,32,200,5,4,0.0001,47,1553.19,289.362,1300
0.194499,4.00004,32,200,5,4,0.0002,73,1336.99,320.342,1300
1.89724,4.00004,32,200,5,4,0.0004,237,1086.5,453.087,1100
7.88135,4.00004,32,200,5,4,0.0008,616,836.364,336.669,800
31.0473,4.00004,32,200,5,4,0.0016,2663,632.069,344.552,800
36.5693,4.00004,32,200,5,4,0.0032,9708,562.917,337.16,800
0.253603,4.00004,32,200,5,8,0.0001,41,1680.49,289.837,1100
0.309294,4.00004,32,200,5,8,0.0002,75,1414.67,333.333,1700
1.23815,4.00004,32,200,5,8,0.0004,177,1076.27,330.339,1200
20.4537,4.00004,32,200,5,8,0.0008,787,784.498,339.665,1300
23.9046,4.00004,32,200,5,8,0.0016,3088,653.012,382.642,900
39.5337,4.00004,32,200,5,8,0.0032,9561,582.774,372.855,800
0.174122,4.00004,32,200,5,16,0.0001,42,1709.52,367.857,900
0.367065,4.00004,32,200,5,16,0.0002,86,1675.58,322.539,1700
4.07794,4.00004,32,200,5,16,0.0004,259,1065.64,368.61,1000
13.1934,4.00004,32,200,5,16,0.0008,716,937.43,357.528,1000
