offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,offsetscount,counterscount,maxOffset,maxCounter
29.6457,0.0140938,32,200,5,2,0.008,2574,9486636,4510,199,1
31.1326,0.0243813,32,200,5,2,0.016,5132,9962435,7802,197,2
31.578,0.0392812,32,200,5,2,0.032,10374,10104974,12570,100,2
2.14515,0.0307875,32,200,5,4,0.001,133,686449,9852,198,2
7.15618,0.006625,32,200,5,4,0.002,602,2289976,2120,199,1
18.5464,0.0117031,32,200,5,4,0.004,1284,5934837,3745,199,1
29.6435,0.00895625,32,200,5,4,0.008,2532,9485911,2866,199,1
31.2083,0.0201844,32,200,5,4,0.016,5121,9986660,6459,199,2
31.556,0.0329469,32,200,5,4,0.032,10263,10097924,10543,102,2
2.29908,0.06725,32,200,5,8,0.001,190,735706,21520,199,2
6.14777,0.00406875,32,200,5,8,0.002,507,1967287,1302,199,1
18.4833,0.004575,32,200,5,8,0.004,1271,5914669,1464,199,2
29.8808,0.0065625,32,200,5,8,0.008,2560,9561852,2100,199,1
31.2505,0.0167938,32,200,5,8,0.016,5058,10000147,5374,192,2
31.5277,0.0325625,32,200,5,8,0.032,10129,10088872,10420,107,2
2.37777,0.0554813,32,200,5,16,0.001,196,760887,17754,199,2
5.9199,0.0088125,32,200,5,16,0.002,481,1894369,2820,199,1
17.8208,0.00310938,32,200,5,16,0.004,1287,5702643,995,199,1
29.3067,0.0119187,32,200,5,16,0.008,2626,9378128,3814,199,1
